"Date","Price","Open","High","Low","Vol.","Change %"
"01/01/2015","2.3309","2.3365","2.3365","2.3309","","-0.15%"
"01/02/2015","2.3442","2.3322","2.3586","2.3312","","0.57%"
"01/05/2015","2.3318","2.3519","2.3524","2.3250","","-0.53%"
"01/06/2015","2.3228","2.3312","2.3367","2.3132","","-0.39%"
"01/07/2015","2.3189","2.3234","2.3342","2.3182","","-0.17%"
"01/08/2015","2.2992","2.3190","2.3229","2.2952","","-0.85%"
"01/09/2015","2.2950","2.2992","2.3110","2.2825","","-0.18%"
"01/12/2015","2.2853","2.2905","2.2982","2.2811","","-0.42%"
"01/13/2015","2.2858","2.2849","2.2888","2.2712","","0.02%"
"01/14/2015","2.2811","2.2849","2.3087","2.2757","","-0.21%"
"01/15/2015","2.3103","2.2818","2.3317","2.2707","","1.28%"
"01/16/2015","2.3229","2.3130","2.3420","2.3020","","0.55%"
"01/19/2015","2.3380","2.3323","2.3482","2.3252","","0.65%"
"01/20/2015","2.3463","2.3374","2.3632","2.3222","","0.35%"
"01/21/2015","2.3503","2.3457","2.3545","2.3312","","0.17%"
"01/22/2015","2.3242","2.3522","2.3617","2.3164","","-1.11%"
"01/23/2015","2.3483","2.3222","2.3558","2.3187","","1.04%"
"01/26/2015","2.3541","2.3643","2.3735","2.3454","","0.25%"
"01/27/2015","2.3642","2.3549","2.3739","2.3389","","0.43%"
"01/28/2015","2.3859","2.3640","2.3873","2.3528","","0.92%"
"01/29/2015","2.4161","2.3844","2.4212","2.3835","","1.27%"
"01/30/2015","2.4464","2.4155","2.4502","2.4032","","1.25%"
"02/02/2015","2.4306","2.4453","2.4453","2.4137","","-0.65%"
"02/03/2015","2.4014","2.4306","2.4416","2.3919","","-1.20%"
"02/04/2015","2.4665","2.4013","2.4687","2.3917","","2.71%"
"02/05/2015","2.4375","2.4657","2.4668","2.4338","","-1.18%"
"02/06/2015","2.4740","2.4375","2.4829","2.4268","","1.50%"
"02/09/2015","2.4766","2.4800","2.5032","2.4710","","0.11%"
"02/10/2015","2.4964","2.4762","2.5097","2.4672","","0.80%"
"02/11/2015","2.5004","2.4957","2.5144","2.4792","","0.16%"
"02/12/2015","2.4666","2.4998","2.5084","2.4639","","-1.35%"
"02/13/2015","2.4581","2.4672","2.4787","2.4552","","-0.34%"
"02/16/2015","2.4566","2.4578","2.4642","2.4422","","-0.06%"
"02/17/2015","2.4520","2.4564","2.4591","2.4382","","-0.19%"
"02/18/2015","2.4418","2.4525","2.4700","2.4418","","-0.42%"
"02/19/2015","2.4570","2.4432","2.4602","2.4312","","0.62%"
"02/20/2015","2.4526","2.4542","2.4682","2.4482","","-0.18%"
"02/23/2015","2.4753","2.4686","2.4862","2.4492","","0.93%"
"02/24/2015","2.4637","2.4773","2.4907","2.4627","","-0.47%"
"02/25/2015","2.4886","2.4632","2.4933","2.4512","","1.01%"
"02/26/2015","2.5040","2.4884","2.5080","2.4720","","0.62%"
"02/27/2015","2.5088","2.5061","2.5278","2.4918","","0.19%"
"03/02/2015","2.5169","2.5117","2.5240","2.5020","","0.32%"
"03/03/2015","2.5357","2.5192","2.5413","2.5053","","0.75%"
"03/04/2015","2.5640","2.5375","2.5725","2.5315","","1.12%"
"03/05/2015","2.6069","2.5640","2.6290","2.5610","","1.67%"
"03/06/2015","2.6243","2.6076","2.6474","2.5708","","0.67%"
"03/09/2015","2.6016","2.6274","2.6335","2.5880","","-0.86%"
"03/10/2015","2.6385","2.6014","2.6470","2.5986","","1.42%"
"03/11/2015","2.6105","2.6384","2.6450","2.6030","","-1.06%"
"03/12/2015","2.5840","2.6103","2.6156","2.5825","","-1.02%"
"03/13/2015","2.6397","2.5846","2.6496","2.5826","","2.16%"
"03/16/2015","2.6261","2.6307","2.6433","2.5990","","-0.52%"
"03/17/2015","2.6117","2.6261","2.6330","2.6040","","-0.55%"
"03/18/2015","2.5702","2.6115","2.6270","2.5642","","-1.59%"
"03/19/2015","2.6070","2.5697","2.6190","2.5607","","1.43%"
"03/20/2015","2.5730","2.6040","2.6070","2.5692","","-1.30%"
"03/23/2015","2.5423","2.5754","2.5926","2.5419","","-1.19%"
"03/24/2015","2.5519","2.5422","2.5700","2.5400","","0.38%"
"03/25/2015","2.5870","2.5520","2.5940","2.5499","","1.38%"
"03/26/2015","2.5957","2.5868","2.6180","2.5830","","0.34%"
"03/27/2015","2.6102","2.5920","2.6247","2.5920","","0.56%"
"03/30/2015","2.6078","2.6108","2.6195","2.5965","","-0.09%"
"03/31/2015","2.5978","2.6095","2.6235","2.5915","","-0.38%"
"04/01/2015","2.5990","2.5980","2.6140","2.5875","","0.05%"
"04/02/2015","2.5855","2.6003","2.6021","2.5826","","-0.52%"
"04/03/2015","2.5719","2.5856","2.5982","2.5547","","-0.53%"
"04/06/2015","2.5710","2.5692","2.5785","2.5540","","-0.03%"
"04/07/2015","2.6023","2.5745","2.6049","2.5640","","1.22%"
"04/08/2015","2.5995","2.6018","2.6038","2.5830","","-0.11%"
"04/09/2015","2.6199","2.5984","2.6240","2.5830","","0.78%"
"04/10/2015","2.6287","2.6205","2.6425","2.6125","","0.34%"
"04/13/2015","2.6705","2.6198","2.6740","2.6198","","1.59%"
"04/14/2015","2.6883","2.6705","2.6949","2.6595","","0.67%"
"04/15/2015","2.6989","2.6884","2.7316","2.6810","","0.39%"
"04/16/2015","2.6786","2.6984","2.7150","2.6702","","-0.75%"
"04/17/2015","2.6782","2.6781","2.7010","2.6718","","-0.01%"
"04/20/2015","2.6993","2.6879","2.7119","2.6702","","0.79%"
"04/21/2015","2.6858","2.7001","2.7159","2.6770","","-0.50%"
"04/22/2015","2.7123","2.6854","2.7220","2.6759","","0.99%"
"04/23/2015","2.7015","2.7119","2.7349","2.6960","","-0.40%"
"04/24/2015","2.7144","2.7010","2.7438","2.6980","","0.48%"
"04/27/2015","2.6744","2.7252","2.7390","2.6662","","-1.47%"
"04/28/2015","2.6584","2.6748","2.6945","2.6495","","-0.60%"
"04/29/2015","2.6605","2.6583","2.6750","2.6430","","0.08%"
"04/30/2015","2.6723","2.6604","2.6850","2.6480","","0.44%"
"05/01/2015","2.7079","2.6718","2.7124","2.6636","","1.33%"
"05/04/2015","2.7130","2.7142","2.7244","2.6951","","0.19%"
"05/05/2015","2.7045","2.7109","2.7250","2.7000","","-0.31%"
"05/06/2015","2.6928","2.7040","2.7220","2.6850","","-0.43%"
"05/07/2015","2.6852","2.6926","2.7150","2.6760","","-0.28%"
"05/08/2015","2.6953","2.6863","2.7038","2.6741","","0.38%"
"05/11/2015","2.6938","2.6890","2.7050","2.6780","","-0.06%"
"05/12/2015","2.6635","2.6935","2.7050","2.6587","","-1.12%"
"05/13/2015","2.6307","2.6634","2.6730","2.6197","","-1.23%"
"05/14/2015","2.5909","2.6306","2.6337","2.5870","","-1.51%"
"05/15/2015","2.5759","2.5908","2.6007","2.5738","","-0.58%"
"05/18/2015","2.5806","2.5760","2.5900","2.5710","","0.18%"
"05/19/2015","2.5935","2.5807","2.6049","2.5720","","0.50%"
"05/20/2015","2.5776","2.5933","2.6130","2.5693","","-0.61%"
"05/21/2015","2.5889","2.5771","2.5960","2.5580","","0.44%"
"05/22/2015","2.5991","2.5887","2.6080","2.5820","","0.39%"
"05/25/2015","2.6155","2.5996","2.6200","2.5923","","0.63%"
"05/26/2015","2.6417","2.6139","2.6450","2.6130","","1.00%"
"05/27/2015","2.6421","2.6407","2.6670","2.6310","","0.02%"
"05/28/2015","2.6543","2.6416","2.6679","2.6389","","0.46%"
"05/29/2015","2.6630","2.6550","2.6687","2.6450","","0.33%"
"06/01/2015","2.6829","2.6615","2.6865","2.6589","","0.75%"
"06/02/2015","2.6743","2.6830","2.6940","2.6690","","-0.32%"
"06/03/2015","2.6856","2.6742","2.6930","2.6707","","0.42%"
"06/04/2015","2.6677","2.6853","2.7080","2.6570","","-0.67%"
"06/05/2015","2.6621","2.6674","2.6920","2.6530","","-0.21%"
"06/08/2015","2.7515","2.7710","2.8117","2.7443","","3.36%"
"06/09/2015","2.7521","2.7517","2.7642","2.7292","","0.02%"
"06/10/2015","2.7345","2.7521","2.7564","2.7258","","-0.64%"
"06/11/2015","2.7022","2.7350","2.7532","2.7003","","-1.18%"
"06/12/2015","2.7128","2.7027","2.7262","2.7004","","0.39%"
"06/15/2015","2.7358","2.7119","2.7460","2.7119","","0.85%"
"06/16/2015","2.7345","2.7369","2.7527","2.7257","","-0.05%"
"06/17/2015","2.7061","2.7337","2.7452","2.7061","","-1.04%"
"06/18/2015","2.7123","2.7048","2.7212","2.7030","","0.23%"
"06/19/2015","2.6951","2.7138","2.7255","2.6921","","-0.63%"
"06/22/2015","2.6656","2.6953","2.6976","2.6590","","-1.09%"
"06/23/2015","2.6789","2.6655","2.6860","2.6629","","0.50%"
"06/24/2015","2.6776","2.6788","2.6890","2.6680","","-0.05%"
"06/25/2015","2.6550","2.6777","2.6793","2.6505","","-0.84%"
"06/26/2015","2.6649","2.6552","2.6750","2.6535","","0.37%"
"06/29/2015","2.7028","2.6667","2.7096","2.6667","","1.42%"
"06/30/2015","2.6816","2.7016","2.7073","2.6677","","-0.78%"
"07/01/2015","2.6917","2.6817","2.6970","2.6680","","0.38%"
"07/02/2015","2.6843","2.6910","2.7070","2.6800","","-0.27%"
"07/03/2015","2.6885","2.6846","2.6950","2.6815","","0.16%"
"07/06/2015","2.6781","2.6917","2.7163","2.6713","","-0.39%"
"07/07/2015","2.6854","2.6784","2.7002","2.6702","","0.27%"
"07/08/2015","2.6882","2.6857","2.7016","2.6757","","0.10%"
"07/09/2015","2.6788","2.6883","2.6897","2.6637","","-0.35%"
"07/10/2015","2.6667","2.6776","2.6808","2.6550","","-0.45%"
"07/13/2015","2.6456","2.6718","2.6751","2.6420","","-0.79%"
"07/14/2015","2.6317","2.6460","2.6520","2.6250","","-0.53%"
"07/15/2015","2.6464","2.6315","2.6521","2.6260","","0.56%"
"07/16/2015","2.6565","2.6452","2.6594","2.6390","","0.38%"
"07/17/2015","2.6526","2.6564","2.6585","2.6459","","-0.15%"
"07/20/2015","2.6983","2.6528","2.7020","2.6528","","1.72%"
"07/21/2015","2.6844","2.6985","2.7002","2.6790","","-0.52%"
"07/22/2015","2.7067","2.6856","2.7250","2.6801","","0.83%"
"07/23/2015","2.7344","2.7084","2.7397","2.7060","","1.02%"
"07/24/2015","2.7377","2.7346","2.7539","2.7235","","0.12%"
"07/27/2015","2.7713","2.7409","2.7780","2.7330","","1.23%"
"07/28/2015","2.7600","2.7714","2.7740","2.7420","","-0.41%"
"07/29/2015","2.7650","2.7594","2.7760","2.7531","","0.18%"
"07/30/2015","2.7826","2.7657","2.7932","2.7592","","0.64%"
"07/31/2015","2.7710","2.7828","2.7981","2.7520","","-0.42%"
"08/03/2015","2.7812","2.7672","2.7844","2.7629","","0.37%"
"08/04/2015","2.7826","2.7811","2.7842","2.7640","","0.05%"
"08/05/2015","2.7868","2.7832","2.7940","2.7650","","0.15%"
"08/06/2015","2.7757","2.7866","2.7920","2.7740","","-0.40%"
"08/07/2015","2.7802","2.7762","2.7940","2.7720","","0.16%"
"08/10/2015","2.7794","2.7812","2.7970","2.7740","","-0.03%"
"08/11/2015","2.7797","2.7792","2.7905","2.7580","","0.01%"
"08/12/2015","2.7776","2.7797","2.7880","2.7657","","-0.08%"
"08/13/2015","2.8200","2.7771","2.8300","2.7690","","1.53%"
"08/14/2015","2.8340","2.8216","2.8475","2.8176","","0.50%"
"08/17/2015","2.8683","2.8365","2.8734","2.8242","","1.21%"
"08/18/2015","2.8946","2.8695","2.9093","2.8643","","0.92%"
"08/19/2015","2.9255","2.8941","2.9450","2.8830","","1.07%"
"08/20/2015","2.9160","2.9256","2.9999","2.8870","","-0.32%"
"08/21/2015","2.9187","2.9155","2.9365","2.9020","","0.09%"
"08/24/2015","2.9421","2.9200","2.9865","2.9159","","0.80%"
"08/25/2015","2.9402","2.9416","2.9509","2.9090","","-0.06%"
"08/26/2015","2.9318","2.9397","2.9511","2.9150","","-0.29%"
"08/27/2015","2.9099","2.9317","2.9348","2.8950","","-0.75%"
"08/28/2015","2.9238","2.9094","2.9318","2.9050","","0.48%"
"08/31/2015","2.9148","2.9255","2.9329","2.9076","","-0.31%"
"09/01/2015","2.9302","2.9144","2.9329","2.9050","","0.53%"
"09/02/2015","2.9414","2.9304","2.9590","2.9223","","0.38%"
"09/03/2015","2.9707","2.9418","2.9785","2.9375","","1.00%"
"09/04/2015","3.0074","2.9708","3.0141","2.9670","","1.24%"
"09/07/2015","3.0301","2.9987","3.0464","2.9987","","0.75%"
"09/08/2015","3.0111","3.0315","3.0350","3.0007","","-0.63%"
"09/09/2015","3.0360","3.0106","3.0441","2.9850","","0.83%"
"09/10/2015","3.0228","3.0379","3.0631","3.0156","","-0.43%"
"09/11/2015","3.0465","3.0225","3.0610","3.0159","","0.78%"
"09/14/2015","3.0578","3.0355","3.0720","3.0355","","0.37%"
"09/15/2015","3.0300","3.0588","3.0720","3.0200","","-0.91%"
"09/16/2015","2.9984","3.0295","3.0325","2.9895","","-1.04%"
"09/17/2015","3.0124","2.9988","3.0295","2.9747","","0.47%"
"09/18/2015","3.0050","3.0124","3.0152","2.9756","","-0.25%"
"09/21/2015","3.0062","3.0079","3.0281","2.9800","","0.04%"
"09/22/2015","3.0260","3.0065","3.0410","2.9870","","0.66%"
"09/23/2015","3.0385","3.0249","3.0485","3.0111","","0.41%"
"09/24/2015","3.0403","3.0386","3.0754","3.0271","","0.06%"
"09/25/2015","3.0467","3.0377","3.0577","3.0226","","0.21%"
"09/28/2015","3.0579","3.0471","3.0625","3.0270","","0.37%"
"09/29/2015","3.0368","3.0557","3.0705","3.0305","","-0.69%"
"09/30/2015","3.0257","3.0369","3.0443","3.0155","","-0.37%"
"10/01/2015","3.0267","3.0254","3.0330","3.0070","","0.03%"
"10/02/2015","2.9906","3.0266","3.0373","2.9850","","-1.19%"
"10/05/2015","2.9837","2.9946","3.0031","2.9808","","-0.23%"
"10/06/2015","2.9583","2.9822","2.9995","2.9546","","-0.85%"
"10/07/2015","2.9402","2.9581","2.9630","2.9129","","-0.61%"
"10/08/2015","2.8935","2.9400","2.9500","2.8905","","-1.59%"
"10/09/2015","2.9118","2.8938","2.9212","2.8878","","0.63%"
"10/12/2015","2.9264","2.9172","2.9591","2.9125","","0.50%"
"10/13/2015","2.9586","2.9259","2.9620","2.9230","","1.10%"
"10/14/2015","2.9137","2.9581","2.9640","2.9100","","-1.52%"
"10/15/2015","2.8803","2.9138","2.9148","2.8750","","-1.15%"
"10/16/2015","2.8917","2.8804","2.9090","2.8763","","0.40%"
"10/19/2015","2.9054","2.8943","2.9075","2.8775","","0.47%"
"10/20/2015","2.9003","2.9062","2.9101","2.8839","","-0.18%"
"10/21/2015","2.8954","2.9005","2.9155","2.8902","","-0.17%"
"10/22/2015","2.8726","2.8951","2.9026","2.8622","","-0.79%"
"10/23/2015","2.9078","2.8734","2.9165","2.8575","","1.23%"
"10/26/2015","2.8900","2.9068","2.9207","2.8805","","-0.61%"
"10/27/2015","2.9041","2.8904","2.9180","2.8853","","0.49%"
"10/28/2015","2.9247","2.9036","2.9336","2.8851","","0.71%"
"10/29/2015","2.9375","2.9242","2.9435","2.9151","","0.44%"
"10/30/2015","2.9151","2.9380","2.9422","2.9070","","-0.76%"
"11/02/2015","2.8239","2.9154","2.9156","2.7550","","-3.13%"
"11/03/2015","2.8290","2.8243","2.8515","2.8085","","0.18%"
"11/04/2015","2.8631","2.8278","2.8700","2.8220","","1.21%"
"11/05/2015","2.8607","2.8626","2.8779","2.8540","","-0.08%"
"11/06/2015","2.9153","2.8624","2.9328","2.8586","","1.91%"
"11/09/2015","2.9207","2.9135","2.9289","2.9110","","0.19%"
"11/10/2015","2.9158","2.9228","2.9263","2.9028","","-0.17%"
"11/11/2015","2.8748","2.9148","2.9158","2.8714","","-1.41%"
"11/12/2015","2.8651","2.8743","2.8920","2.8565","","-0.34%"
"11/13/2015","2.8637","2.8646","2.8786","2.8550","","-0.05%"
"11/16/2015","2.8834","2.8654","2.8882","2.8638","","0.69%"
"11/17/2015","2.8691","2.8829","2.8902","2.8580","","-0.50%"
"11/18/2015","2.8619","2.8686","2.8764","2.8530","","-0.25%"
"11/19/2015","2.8427","2.8629","2.8709","2.8385","","-0.67%"
"11/20/2015","2.8317","2.8444","2.8497","2.8147","","-0.39%"
"11/23/2015","2.8507","2.8292","2.8538","2.8258","","0.67%"
"11/24/2015","2.8773","2.8506","2.8850","2.8410","","0.93%"
"11/25/2015","2.8884","2.8774","2.8941","2.8720","","0.39%"
"11/26/2015","2.9211","2.8886","2.9275","2.8835","","1.13%"
"11/27/2015","2.9245","2.9218","2.9353","2.9080","","0.12%"
"11/30/2015","2.9131","2.9211","2.9365","2.8950","","-0.39%"
"12/01/2015","2.8907","2.9136","2.9146","2.8760","","-0.77%"
"12/02/2015","2.8893","2.8907","2.9010","2.8700","","-0.05%"
"12/03/2015","2.8846","2.8895","2.8980","2.8680","","-0.16%"
"12/04/2015","2.8950","2.8865","2.9171","2.8755","","0.36%"
"12/07/2015","2.9135","2.8937","2.9180","2.8760","","0.64%"
"12/08/2015","2.9100","2.9130","2.9258","2.9008","","-0.12%"
"12/09/2015","2.9165","2.9097","2.9295","2.9000","","0.22%"
"12/10/2015","2.9235","2.9161","2.9296","2.9010","","0.24%"
"12/11/2015","2.9817","2.9252","2.9898","2.9168","","1.99%"
"12/14/2015","2.9796","2.9746","2.9985","2.9445","","-0.07%"
"12/15/2015","2.9640","2.9795","2.9915","2.9480","","-0.52%"
"12/16/2015","2.9352","2.9652","2.9757","2.9212","","-0.97%"
"12/17/2015","2.9292","2.9366","2.9510","2.9170","","-0.20%"
"12/18/2015","2.9088","2.9321","2.9389","2.9037","","-0.70%"
"12/21/2015","2.9145","2.9084","2.9235","2.9025","","0.20%"
"12/22/2015","2.9307","2.9150","2.9520","2.9067","","0.56%"
"12/23/2015","2.9169","2.9287","2.9390","2.9153","","-0.47%"
"12/24/2015","2.9185","2.9164","2.9272","2.9120","","0.05%"
"12/25/2015","2.9230","2.9195","2.9255","2.9105","","0.15%"
"12/28/2015","2.9062","2.9188","2.9259","2.9033","","-0.57%"
"12/29/2015","2.9063","2.9060","2.9155","2.9010","","0.00%"
"12/30/2015","2.9185","2.9068","2.9330","2.9040","","0.42%"
"12/31/2015","2.9177","2.9160","2.9311","2.9030","","-0.03%"
"01/01/2016","2.9139","2.9177","2.9201","2.9129","","-0.13%"
"01/04/2016","2.9642","2.9185","2.9810","2.9137","","1.73%"
"01/05/2016","2.9852","2.9642","2.9918","2.9538","","0.71%"
"01/06/2016","3.0024","2.9849","3.0160","2.9820","","0.58%"
"01/07/2016","2.9993","3.0007","3.0290","2.9850","","-0.10%"
"01/08/2016","3.0214","2.9991","3.0231","2.9810","","0.74%"
"01/11/2016","3.0377","3.0207","3.0437","3.0090","","0.54%"
"01/12/2016","3.0332","3.0377","3.0490","3.0215","","-0.15%"
"01/13/2016","3.0285","3.0345","3.0365","3.0050","","-0.15%"
"01/14/2016","3.0235","3.0265","3.0435","3.0165","","-0.17%"
"01/15/2016","3.0484","3.0229","3.0549","3.0216","","0.82%"
"01/18/2016","3.0365","3.0489","3.0533","3.0290","","-0.39%"
"01/19/2016","3.0401","3.0342","3.0466","3.0167","","0.12%"
"01/20/2016","3.0422","3.0400","3.0630","3.0349","","0.07%"
"01/21/2016","3.0126","3.0423","3.0541","3.0101","","-0.97%"
"01/22/2016","3.0038","3.0138","3.0239","3.0003","","-0.29%"
"01/25/2016","3.0214","3.0010","3.0245","2.9984","","0.59%"
"01/26/2016","3.0088","3.0209","3.0356","3.0020","","-0.42%"
"01/27/2016","3.0014","3.0083","3.0190","2.9850","","-0.25%"
"01/28/2016","2.9693","3.0014","3.0030","2.9650","","-1.07%"
"01/29/2016","2.9553","2.9694","2.9780","2.9510","","-0.47%"
"02/01/2016","2.9456","2.9561","2.9780","2.9410","","-0.33%"
"02/02/2016","2.9519","2.9459","2.9610","2.9430","","0.21%"
"02/03/2016","2.9164","2.9521","2.9646","2.9070","","-1.20%"
"02/04/2016","2.9118","2.9159","2.9270","2.8863","","-0.16%"
"02/05/2016","2.9233","2.9135","2.9268","2.8918","","0.39%"
"02/08/2016","2.9473","2.9185","2.9550","2.9120","","0.82%"
"02/09/2016","2.9407","2.9476","2.9631","2.9270","","-0.22%"
"02/10/2016","2.9218","2.9405","2.9427","2.9150","","-0.64%"
"02/11/2016","2.9310","2.9223","2.9470","2.9160","","0.31%"
"02/12/2016","2.9295","2.9307","2.9398","2.9177","","-0.05%"
"02/15/2016","2.9461","2.9303","2.9560","2.9247","","0.57%"
"02/16/2016","2.9774","2.9466","2.9818","2.9420","","1.06%"
"02/17/2016","2.9561","2.9754","2.9843","2.9410","","-0.72%"
"02/18/2016","2.9705","2.9580","2.9752","2.9497","","0.49%"
"02/19/2016","2.9516","2.9683","2.9759","2.9477","","-0.64%"
"02/22/2016","2.9367","2.9532","2.9577","2.9300","","-0.50%"
"02/23/2016","2.9437","2.9368","2.9470","2.9270","","0.24%"
"02/24/2016","2.9363","2.9437","2.9550","2.9320","","-0.25%"
"02/25/2016","2.9280","2.9358","2.9428","2.9170","","-0.28%"
"02/26/2016","2.9925","2.9295","3.0015","2.9200","","2.20%"
"02/29/2016","2.9654","2.9963","2.9963","2.9520","","-0.91%"
"03/01/2016","2.9361","2.9657","2.9682","2.9302","","-0.99%"
"03/02/2016","2.9253","2.9364","2.9481","2.9230","","-0.37%"
"03/03/2016","2.9088","2.9266","2.9347","2.9067","","-0.56%"
"03/04/2016","2.9082","2.9097","2.9277","2.9017","","-0.02%"
"03/07/2016","2.9160","2.9089","2.9326","2.9039","","0.27%"
"03/08/2016","2.9144","2.9146","2.9306","2.9061","","-0.05%"
"03/09/2016","2.8907","2.9162","2.9212","2.8867","","-0.81%"
"03/10/2016","2.8915","2.8923","2.9100","2.8725","","0.03%"
"03/11/2016","2.8670","2.8915","2.8980","2.8636","","-0.85%"
"03/14/2016","2.8704","2.8685","2.8880","2.8620","","0.12%"
"03/15/2016","2.8986","2.8706","2.9120","2.8660","","0.98%"
"03/16/2016","2.8684","2.8981","2.9310","2.8630","","-1.04%"
"03/17/2016","2.8417","2.8679","2.8740","2.8380","","-0.93%"
"03/18/2016","2.8676","2.8398","2.8694","2.8380","","0.91%"
"03/21/2016","2.8585","2.8636","2.8815","2.8550","","-0.32%"
"03/22/2016","2.8667","2.8628","2.8850","2.8565","","0.29%"
"03/23/2016","2.8775","2.8672","2.8829","2.8635","","0.38%"
